comment_id,post_id,author_id,body,created_date,score,edited
igitoob,w18mvi,o9gm3kbr,1. Lazy piece of shit 2. That's meat which came from a once living breathing animal. Have some respect,2022-07-17 22:44:21+08:00,14,False
igisidb,w18mvi,me9qlj1h,Did u see the person who put it there?,2022-07-17 22:35:17+08:00,3,False
igix2ll,w18mvi,qcs0sa7,Sometimes you just can't change stupid no matter how hard you try,2022-07-17 23:10:21+08:00,3,False
igj4j3r,w18mvi,3h0oa,The worse are those who put frozen items into non frozen sections or the other way round.,2022-07-18 00:05:40+08:00,1,False
igj5i72,w18mvi,3r3tfvu5,"you know, if you dw an item and lazy put back you can at least give to cashier and not leave it at some rando place. the cashiers have a designated basket of these kinda stuff and they will find time/ someone to help put back, esp if its frozen or cold. or maybe even a stocker/worker im sure theyre ok to help. speaking from past exp as cashier",2022-07-18 00:12:52+08:00,1,False
igixdjn,w18mvi,a6qp8yum,Lol wtf,2022-07-17 23:12:44+08:00,0,False
igirpnl,w18mvi,rcjst,"For context, this was **in the Halal section**. The freezer is not for non-Halal items. There is more than one thing wrong in this picture.

I didn't just take the picture, I also removed it.

EDIT: Sorry for the errata, I meant to say I found it in a Halal section, not the opposite.",2022-07-17 22:28:58+08:00,-6,1658071636.0
igiq4o2,w18cyc,luwzuu41,"Link of landing was captured [https://www.youtube.com/watch?v=0rn-iI7wX-Y](https://www.youtube.com/watch?v=0rn-iI7wX-Y)  


Cause of the incident was filled with speculation, but engaging Autopilot at the wrong time was generally agreed as a cause of this incident.",2022-07-17 22:16:14+08:00,3,False
igitdm6,w18cyc,qejftnz,Maybe pilot trying to take short cut to the terminal and got stuck in mud.  : ),2022-07-17 22:42:00+08:00,3,False
igis0oy,w18cyc,nnoonp9,most accidents take place during the few seconds of takeoff and landing.,2022-07-17 22:31:26+08:00,0,False
igitigu,w18cyc,p0ozs,Probably not the wisest idea to watch this when I'm about to fly back home,2022-07-17 22:43:02+08:00,-1,False
igitljt,w17pok,qejftnz,800 coming in. Wonder how many retire each year?,2022-07-17 22:43:41+08:00,3,False
igim9b2,w17pok,2vx2xcyw,"> # Nearly 800 students receive degrees from NUS medical school amid Covid-19 challenges

> SINGAPORE - Sexual health and challenges faced by the transgender community do not usually come to mind when people think of the medical profession, but they are among important issues Dr Ching Ann Hui and Dr Yuki Ong hope to spotlight.

> In 2019, they started health podcast Third Spacing, which takes its name from the medical term for the movement of fluid between cells and vessels.

> The series has since racked up nearly 50 episodes covering such topics, and features doctors who have taken unconventional career paths such as going from running a private practice in Singapore to working in Afghanistan.

> Dr Ching, 25, wants to improve marginalised populations' access to healthcare.

> ""As doctors, our work is focused on the body, and some of these topics will inevitably be messy. We have to be very cognisant of where our audience comes from, what their background is, and we work from there (to approach these issues),"" she added.

> She is one of more than 280 undergraduates from the National University of Singapore Yong Loo Lin School of Medicine who received their bachelor's degrees on Sunday (July 17).

> Some 500 students from the school were also conferred graduate degrees that day, bringing NUS' 28 commencement ceremonies this year to a close. They include medical practitioners, biomedical scientists and healthcare administrators.

> Manpower Minister Tan See Leng, an alumnus, said doctors should continually thirst for knowledge, explore new frontiers and stay true to the profession's values.

> ""Covid-19 was the crisis of your generation, but it will not be the last pandemic. Disease X will demand young people like you to be daring, imaginative and to pioneer breakthroughs in your respective fields,"" said Dr Tan, who was guest of honour at the postgraduate ceremony.

> New healthcare innovations and technologies were developed at an unprecedented pace during the pandemic, he said, adding that researchers around the globe raced against time to work on Covid-19 vaccines and artificial intelligence was harnessed to develop predictive technologies that saved numerous lives.

> Dr Tan reminded doctors about the importance of having strong principles.

> ""It may be tempting to fall back into the chase of the usual brass rings that society typically exhorts us to covet - fancy titles, bigger corner offices, more material possessions. This road may work for some, but it will come at huge costs and sacrifice, and it may also distract you from what is most important.

> ""Once you strip away the technological developments, healthcare is fundamentally a mortal enterprise. When you have a patient entrust their life to you, or when you see the labour of your work benefit countless others, then you will realise when medicine really becomes a fulfilling calling,"" he added.

---
1.0.2 | [Source code](https://github.com/fterh/sneakpeek) | [Contribute](https://github.com/fterh/sneakpeek)",2022-07-17 21:43:50+08:00,1,False
igj2c4h,w17pok,126h81,Why is this news lol. Students graduate every year?,2022-07-17 23:49:40+08:00,1,False
igis3oo,w17pok,fscynb2d,Law school sweats nervously,2022-07-17 22:32:05+08:00,0,False
igijyyc,w16zkq,qcs0sa7,All them titans be tranforming,2022-07-17 21:23:29+08:00,23,False
igimva4,w16zkq,nux7yk,"I saw all the lightning, was quite bright.

I didn't hear a single clap of Thunder here in Bishan, and I had the windows wide open.",2022-07-17 21:49:07+08:00,12,False
igin6cz,w16zkq,bba414q0,Thor: Love and Thunder,2022-07-17 21:51:40+08:00,8,False
igiolbj,w16zkq,y2xlb95,Where was this?,2022-07-17 22:03:31+08:00,5,False
igipb3w,w16zkq,doq78cqv,"It’s not a thunderstorm, it’s a thunder battle 🧔🏻‍♀️",2022-07-17 22:09:25+08:00,6,False
igipjrg,w16zkq,501bcm4t,zeus what happened,2022-07-17 22:11:25+08:00,4,False
igis12s,w16zkq,5hsqkt48,It was a silent spectacle!,2022-07-17 22:31:31+08:00,4,False
igiiapv,w16zkq,blb3m9b,Look like some WWE entrance,2022-07-17 21:08:08+08:00,3,False
igizk8q,w16zkq,b1c1t,"Cue ""Immigrant Song - Led Zeppelin"" cos Thor is coming",2022-07-17 23:29:07+08:00,1,False
