,author_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
0,mnfmw2yl,vr2u6k,AsparagusTamer,199,3713,1651546300.0,False,False,False
1,13w81m,vr2mmx,hansemface,365,2950,1482830014.0,False,True,False
2,6z4wpym0,vr24hh,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
3,7rzzeccc,vr1sja,ivan7296,2539,25729,1597888456.0,False,False,False
4,cpt8lfzq,vr1c35,RozyBarbie,2224,5337,1623666923.0,False,False,False
5,ojuqd,vr191b,Twrd4321,71809,99336,1436105514.0,False,True,False
6,3onsmzzo,vr008e,thestudiomaster,9114,32997,1556542596.0,False,True,False
7,1eqdt8vc,vqz0pr,lobangbecausenomoney,13457,19386,1526833868.0,False,False,False
8,6z4wpym0,vqyqyy,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
9,5940jxqi,vqwwwg,theysquawk,188,1862,1588919055.0,False,False,False
10,3onsmzzo,vqwtbe,thestudiomaster,9114,32997,1556542596.0,False,True,False
11,js4uzrh2,vqvr9r,unliketrap,4419,7599,1645076991.0,False,False,False
12,6z4wpym0,vqvlwj,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
13,vjhr0h9,vqvfyy,worldcitizensg,14767,57214,1517833338.0,False,True,False
14,6l4z3,vqs6r4,AutoModerator,1000,1000,1325741068.0,True,True,False
15,6z4wpym0,vqk3p2,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
16,js4uzrh2,vqjm3u,unliketrap,4419,7599,1645076991.0,False,False,False
17,kt5gw,vqdo0p,HeavyArmsJin,6969,37302,1421677459.0,False,False,False
18,6z4wpym0,vqggtd,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
19,51r50ub5,vqe9t9,yrt97,18756,6902,1574140851.0,False,False,False
20,6z4wpym0,vqdnay,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
21,l0w5a,vqd4z7,inodlz,248,2498,1422554473.0,False,False,False
22,au1pv8l8,vqc5eu,Thefunincaifun,22159,37144,1615431095.0,False,False,False
23,qsx6s,vqc0o4,gottaname,397,33854,1443490366.0,False,False,False
24,qcbvdrw,vqapia,silentscope90210,27103,64388,1514779650.0,False,False,False
25,a1szl07n,vqaph2,gilamonster69,196,205,1611890341.0,False,False,False
26,6z4wpym0,vqapaj,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
27,mudpnp4,vqa9gd,ukH5A,1830,623,1512204778.0,False,False,False
28,wgnhqde,vq9a2x,SlashCache,4729,9928,1518406764.0,False,False,False
29,3xqikpcy,vq90c7,SeniorCelery,927,474,1560411413.0,False,False,False
30,4u4xvcsv,vq8r5r,chancethecorgi,12743,958,1571569761.0,False,False,False
31,au1pv8l8,vq8d48,Thefunincaifun,22159,37144,1615431095.0,False,False,False
32,de3s4ctp,vq6i1y,mailchecker,3755,2664,1629545640.0,False,True,False
33,vjhr0h9,vq4y3l,worldcitizensg,14767,57214,1517833338.0,False,True,False
34,d998c9ok,vq4qmm,hydrangeapurple,8727,4932,1626138470.0,False,False,False
35,6l4z3,vq2aub,AutoModerator,1000,1000,1325741068.0,True,True,False
36,6z4wpym0,vpyaac,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
37,67azp9ne,vpv27p,Thick_Eggplant_316,617,158,1602468324.0,False,False,False
38,6z4wpym0,vpu25e,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
39,3d6rv89u,vprk5a,Jammy_buttons2,67741,167012,1552008832.0,False,False,False
40,51r50ub5,vpr2u9,yrt97,18756,6902,1574140851.0,False,False,False
41,6z4wpym0,vpqg1d,MicrotechAnalysis,126518,13038,1592564304.0,False,False,False
42,46ldeyud,vppp73,Jonnyboo234,10349,511,1563467367.0,False,False,False
43,au1pv8l8,vpoenl,Thefunincaifun,22159,37144,1615431095.0,False,False,False
44,1eqdt8vc,vpo8h3,lobangbecausenomoney,13457,19386,1526833868.0,False,False,False
45,mnfmw2yl,vpmr3y,AsparagusTamer,199,3713,1651546300.0,False,False,False
46,8usxb,vpm4he,Lu5ck,4869,2775,1346422067.0,False,False,False
47,3d6rv89u,vpltii,Jammy_buttons2,67741,167012,1552008832.0,False,False,False
48,4l1qqy8i,vplt3c,uncomfortablehistory,5203,3954,1568434631.0,False,False,False
49,6z4wpym0,vpl35s,MicrotechAnalysis,126519,13038,1592564304.0,False,False,False
50,js4uzrh2,vpj26e,unliketrap,4419,7599,1645076991.0,False,False,False
51,21e9hk9h,vpipye,hkstachee,29182,13076,1534945074.0,True,False,False
52,de3s4ctp,vpgeb0,mailchecker,3755,2664,1629545640.0,False,True,False
53,43jfr,vpgbon,zibin,27971,1774,1275593428.0,False,False,False
54,51r50ub5,vpg6y7,yrt97,18756,6902,1574140851.0,False,False,False
55,3lb65kem,vpg3bw,homerulez7,3227,8000,1555135884.0,False,False,False
56,zdn6i,vpfthc,risingsuncoc,36496,50195,1468105268.0,False,False,False
57,6l4z3,vpc7dc,AutoModerator,1000,1000,1325741068.0,True,True,False
58,zg0zk,vp4hyc,SummerPop,4086,23431,1468331725.0,False,False,False
59,de6c5,vp3wsz,tommobile,92,1945,1380967332.0,False,False,False
60,21e9hk9h,vp3ux5,hkstachee,29182,13076,1534945074.0,True,False,False
61,4akzj0vi,vp3s8j,premiumplatinum,2994,770,1564841950.0,False,True,False
62,4l1qqy8i,vp3ocg,uncomfortablehistory,5203,3954,1568434631.0,False,False,False
63,67azp9ne,vp3br0,Thick_Eggplant_316,617,158,1602468324.0,False,False,False
64,6z4wpym0,vp2x7d,MicrotechAnalysis,126520,13038,1592564304.0,False,False,False
65,dhril6mh,vp2slj,Big-Emergency6348,76,284,1650255719.0,False,False,False
66,a5g75cyo,vp2neo,Ok-Communication1350,1180,182,1612358939.0,False,False,False
67,ghqvy,vp24mw,AndyCas,17306,606,1399628349.0,False,False,False
68,fdphy,vozsi8,seekers123,1925,16623,1392983871.0,False,False,False
69,6z4wpym0,voz1fd,MicrotechAnalysis,126520,13038,1592564304.0,False,False,False
70,ovejtr7,voyt64,faith_crusader,12926,8167,1513691626.0,False,False,False
71,d998c9ok,voxqed,hydrangeapurple,8727,4932,1626138470.0,False,False,False
72,3d6rv89u,voxm5x,Jammy_buttons2,67741,167012,1552008832.0,False,False,False
73,j1yq2,voxkh4,YourAveragePlayer,1047,255,1414328321.0,False,True,False
74,am0eouxu,voxa7i,Familiar-Mouse4490,16502,45339,1614519353.0,False,False,False
75,ohw9j,vox4nu,Bcpjw,142965,134703,1435885739.0,False,False,False
76,cbmj3ias,vowv6g,poki777,1193,885,1621931882.0,False,False,False
77,67m06,vowe17,btcprox,13835,11823,1320837331.0,False,False,False
78,uazlr,vow3s0,justmewayne,28473,20008,1454291740.0,False,False,False
79,6z4wpym0,vovvj2,MicrotechAnalysis,126520,13038,1592564304.0,False,False,False
80,au1pv8l8,vovlsd,Thefunincaifun,22159,37144,1615431095.0,False,False,False
