,author_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
0,cudrj,vsgruq,Varantain,26222,21677,2013-08-22 01:50:46+08:00,False,True,False
1,js4uzrh2,vsfo39,unliketrap,4967,7722,2022-02-17 13:49:51+08:00,False,False,False
2,5drps2e1,vsfn2r,patricklhe,10287,12758,2020-01-06 16:40:58+08:00,False,False,False
3,ggzcy,vsfhgg,azilorn,340,1962,2014-05-08 05:33:16+08:00,True,False,False
4,51r50ub5,vscy5d,yrt97,19065,6901,2019-11-19 13:20:51+08:00,False,False,False
5,67azp9ne,vscx3c,Thick_Eggplant_316,617,162,2020-10-12 10:05:24+08:00,False,False,False
6,6z4wpym0,vsbujk,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
7,6l4z3,vs9go2,AutoModerator,1000,1000,2012-01-05 13:24:28+08:00,True,True,False
8,6a0vyuzr,vs0bks,HistorianSoviet,8012,10184,2021-01-07 07:30:35+08:00,False,False,False
9,1ae8o0nv,vrzgbl,Hazelnut526,1686,17869,2018-05-02 00:04:11+08:00,False,False,False
10,avzi0,vrxfmu,320x240,5188,11927,2013-03-10 15:34:59+08:00,False,True,False
11,3lb65kem,vrwqu5,homerulez7,3247,7998,2019-04-13 14:11:24+08:00,False,False,False
12,l9c4d6nw,vrwioh,merlion_sg,2441,286,2022-03-29 09:34:20+08:00,False,False,False
13,51r50ub5,vrvkmj,yrt97,19065,6901,2019-11-19 13:20:51+08:00,False,False,False
14,6nr03ap4,vrv9yl,heikafei,143,520,2020-06-03 23:39:38+08:00,False,False,False
15,7rzzeccc,vrupox,ivan7296,2599,25783,2020-08-20 09:54:16+08:00,False,False,False
16,1eqdt8vc,vrtlq6,lobangbecausenomoney,13508,19482,2018-05-21 00:31:08+08:00,False,False,False
17,mnfmw2yl,vrt7ns,AsparagusTamer,333,4185,2022-05-03 10:51:40+08:00,False,False,False
18,am0eouxu,vrsyur,Familiar-Mouse4490,16912,45536,2021-02-28 21:35:53+08:00,False,False,False
19,51r50ub5,vrsifo,yrt97,19065,6901,2019-11-19 13:20:51+08:00,False,False,False
20,d9y2p0xo,vrs2y3,InstantlyLyrical,433,628,2021-07-13 16:08:28+08:00,False,False,False
21,cmwn57qg,vrr8bu,puremilkyway,301,88,2021-06-10 14:29:52+08:00,False,False,False
22,62xqunuw,vrqvf5,PublicSummer0,5574,7300,2020-04-10 18:56:56+08:00,False,False,False
23,40ddigft,vrqilm,Downpesman,1762,4433,2019-06-25 15:30:36+08:00,False,False,False
24,de3s4ctp,vrq5o9,mailchecker,3765,2697,2021-08-21 19:34:00+08:00,False,True,False
25,js4uzrh2,vrq2uj,unliketrap,4967,7722,2022-02-17 13:49:51+08:00,False,False,False
26,au1pv8l8,vrpred,Thefunincaifun,22295,37553,2021-03-11 10:51:35+08:00,False,False,False
27,js4uzrh2,vrm4te,unliketrap,4967,7722,2022-02-17 13:49:51+08:00,False,False,False
28,6l4z3,vrii7c,AutoModerator,1000,1000,2012-01-05 13:24:28+08:00,True,True,False
29,am0eouxu,vre020,Familiar-Mouse4490,16912,45536,2021-02-28 21:35:53+08:00,False,False,False
30,d67fk,vrbbep,thedroidmaster,3728,199,2013-09-16 16:21:48+08:00,False,False,False
31,am0eouxu,vr9iul,Familiar-Mouse4490,16912,45536,2021-02-28 21:35:53+08:00,False,False,False
32,p83yi,vr8wpa,Pokerlulzful,403,11647,2015-08-01 10:34:23+08:00,False,False,False
33,3igu9vss,vr8wj7,SuperWIKI1,2419,861,2019-03-31 10:40:35+08:00,False,False,False
34,js4uzrh2,vr892z,unliketrap,4967,7722,2022-02-17 13:49:51+08:00,False,False,False
35,7lxxuvx,vr7xoa,jayk26,179,146,2017-07-19 18:59:41+08:00,False,False,False
36,wgnhqde,vr6ni4,SlashCache,4739,9965,2018-02-12 11:39:24+08:00,False,False,False
37,au1pv8l8,vr67ls,Thefunincaifun,22295,37553,2021-03-11 10:51:35+08:00,False,False,False
38,10g7te,vr5rta,memloh,1559,1494,2016-08-14 01:55:34+08:00,False,False,False
39,51r50ub5,vr5eyl,yrt97,19065,6901,2019-11-19 13:20:51+08:00,False,False,False
40,am0eouxu,vr49tz,Familiar-Mouse4490,16912,45536,2021-02-28 21:35:53+08:00,False,False,False
41,46ldeyud,vr3kd4,Jonnyboo234,10360,511,2019-07-19 00:29:27+08:00,False,False,False
42,au1pv8l8,vr33i5,Thefunincaifun,22295,37553,2021-03-11 10:51:35+08:00,False,False,False
43,mnfmw2yl,vr2u6k,AsparagusTamer,333,4185,2022-05-03 10:51:40+08:00,False,False,False
44,13w81m,vr2mmx,hansemface,370,2950,2016-12-27 17:13:34+08:00,False,True,False
45,6z4wpym0,vr24hh,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
46,7rzzeccc,vr1sja,ivan7296,2599,25783,2020-08-20 09:54:16+08:00,False,False,False
47,cpt8lfzq,vr1c35,RozyBarbie,2412,5395,2021-06-14 18:35:23+08:00,False,False,False
48,ojuqd,vr191b,Twrd4321,71815,99381,2015-07-05 22:11:54+08:00,False,True,False
49,3onsmzzo,vr008e,thestudiomaster,9395,33047,2019-04-29 20:56:36+08:00,False,True,False
50,1eqdt8vc,vqz0pr,lobangbecausenomoney,13508,19482,2018-05-21 00:31:08+08:00,False,False,False
51,6z4wpym0,vqyqyy,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
52,5940jxqi,vqwwwg,theysquawk,214,1967,2020-05-08 14:24:15+08:00,False,False,False
53,3onsmzzo,vqwtbe,thestudiomaster,9395,33047,2019-04-29 20:56:36+08:00,False,True,False
54,js4uzrh2,vqvr9r,unliketrap,4967,7722,2022-02-17 13:49:51+08:00,False,False,False
55,6z4wpym0,vqvlwj,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
56,vjhr0h9,vqvfyy,worldcitizensg,14794,57227,2018-02-05 20:22:18+08:00,False,True,False
57,6l4z3,vqs6r4,AutoModerator,1000,1000,2012-01-05 13:24:28+08:00,True,True,False
58,6z4wpym0,vqk3p2,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
59,js4uzrh2,vqjm3u,unliketrap,4967,7722,2022-02-17 13:49:51+08:00,False,False,False
60,kt5gw,vqdo0p,HeavyArmsJin,6977,37469,2015-01-19 22:24:19+08:00,False,False,False
61,6z4wpym0,vqggtd,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
62,51r50ub5,vqe9t9,yrt97,19065,6901,2019-11-19 13:20:51+08:00,False,False,False
63,6z4wpym0,vqdnay,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
64,l0w5a,vqd4z7,inodlz,249,2501,2015-01-30 02:01:13+08:00,False,False,False
65,au1pv8l8,vqc5eu,Thefunincaifun,22295,37553,2021-03-11 10:51:35+08:00,False,False,False
66,qsx6s,vqc0o4,gottaname,405,33858,2015-09-29 09:32:46+08:00,False,False,False
67,qcbvdrw,vqapia,silentscope90210,27110,65294,2018-01-01 12:07:30+08:00,False,False,False
68,a1szl07n,vqaph2,gilamonster69,202,289,2021-01-29 11:19:01+08:00,False,False,False
69,6z4wpym0,vqapaj,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
70,mudpnp4,vqa9gd,ukH5A,1832,623,2017-12-02 16:52:58+08:00,False,False,False
71,wgnhqde,vq9a2x,SlashCache,4739,9965,2018-02-12 11:39:24+08:00,False,False,False
72,3xqikpcy,vq90c7,SeniorCelery,927,476,2019-06-13 15:36:53+08:00,False,False,False
73,4u4xvcsv,vq8r5r,chancethecorgi,12750,962,2019-10-20 19:09:21+08:00,False,False,False
74,au1pv8l8,vq8d48,Thefunincaifun,22295,37553,2021-03-11 10:51:35+08:00,False,False,False
75,de3s4ctp,vq6i1y,mailchecker,3765,2697,2021-08-21 19:34:00+08:00,False,True,False
76,vjhr0h9,vq4y3l,worldcitizensg,14794,57227,2018-02-05 20:22:18+08:00,False,True,False
77,d998c9ok,vq4qmm,hydrangeapurple,8728,4936,2021-07-13 09:07:50+08:00,False,False,False
78,6l4z3,vq2aub,AutoModerator,1000,1000,2012-01-05 13:24:28+08:00,True,True,False
79,6z4wpym0,vpyaac,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
80,67azp9ne,vpv27p,Thick_Eggplant_316,617,162,2020-10-12 10:05:24+08:00,False,False,False
81,6z4wpym0,vpu25e,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
82,3d6rv89u,vprk5a,Jammy_buttons2,67834,167230,2019-03-08 09:33:52+08:00,False,False,False
83,51r50ub5,vpr2u9,yrt97,19065,6901,2019-11-19 13:20:51+08:00,False,False,False
84,6z4wpym0,vpqg1d,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
85,46ldeyud,vppp73,Jonnyboo234,10360,511,2019-07-19 00:29:27+08:00,False,False,False
86,au1pv8l8,vpoenl,Thefunincaifun,22295,37553,2021-03-11 10:51:35+08:00,False,False,False
87,1eqdt8vc,vpo8h3,lobangbecausenomoney,13508,19482,2018-05-21 00:31:08+08:00,False,False,False
88,mnfmw2yl,vpmr3y,AsparagusTamer,333,4186,2022-05-03 10:51:40+08:00,False,False,False
89,8usxb,vpm4he,Lu5ck,4869,2776,2012-08-31 22:07:47+08:00,False,False,False
90,3d6rv89u,vpltii,Jammy_buttons2,67834,167230,2019-03-08 09:33:52+08:00,False,False,False
91,4l1qqy8i,vplt3c,uncomfortablehistory,5209,3958,2019-09-14 12:17:11+08:00,False,False,False
92,6z4wpym0,vpl35s,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
93,js4uzrh2,vpj26e,unliketrap,4968,7722,2022-02-17 13:49:51+08:00,False,False,False
94,21e9hk9h,vpipye,hkstachee,29182,13075,2018-08-22 21:37:54+08:00,True,False,False
95,de3s4ctp,vpgeb0,mailchecker,3765,2697,2021-08-21 19:34:00+08:00,False,True,False
96,43jfr,vpgbon,zibin,27971,1775,2010-06-04 03:30:28+08:00,False,False,False
97,51r50ub5,vpg6y7,yrt97,19066,6901,2019-11-19 13:20:51+08:00,False,False,False
98,3lb65kem,vpg3bw,homerulez7,3247,7998,2019-04-13 14:11:24+08:00,False,False,False
99,zdn6i,vpfthc,risingsuncoc,36565,50223,2016-07-10 07:01:08+08:00,False,False,False
100,6l4z3,vpc7dc,AutoModerator,1000,1000,2012-01-05 13:24:28+08:00,True,True,False
101,zg0zk,vp4hyc,SummerPop,4197,23679,2016-07-12 21:55:25+08:00,False,False,False
102,de6c5,vp3wsz,tommobile,92,1945,2013-10-05 18:02:12+08:00,False,False,False
103,21e9hk9h,vp3ux5,hkstachee,29182,13075,2018-08-22 21:37:54+08:00,True,False,False
104,4akzj0vi,vp3s8j,premiumplatinum,2994,770,2019-08-03 22:19:10+08:00,False,True,False
105,4l1qqy8i,vp3ocg,uncomfortablehistory,5209,3958,2019-09-14 12:17:11+08:00,False,False,False
106,67azp9ne,vp3br0,Thick_Eggplant_316,617,162,2020-10-12 10:05:24+08:00,False,False,False
107,6z4wpym0,vp2x7d,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
108,dhril6mh,vp2slj,Big-Emergency6348,76,302,2022-04-18 12:21:59+08:00,False,False,False
109,a5g75cyo,vp2neo,Ok-Communication1350,1180,182,2021-02-03 21:28:59+08:00,False,False,False
110,ghqvy,vp24mw,AndyCas,17306,606,2014-05-09 17:39:09+08:00,False,False,False
111,fdphy,vozsi8,seekers123,1925,16867,2014-02-21 19:57:51+08:00,False,False,False
112,6z4wpym0,voz1fd,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
113,ovejtr7,voyt64,faith_crusader,12927,8157,2017-12-19 21:53:46+08:00,False,False,False
114,d998c9ok,voxqed,hydrangeapurple,8728,4936,2021-07-13 09:07:50+08:00,False,False,False
115,3d6rv89u,voxm5x,Jammy_buttons2,67834,167230,2019-03-08 09:33:52+08:00,False,False,False
116,j1yq2,voxkh4,YourAveragePlayer,1047,255,2014-10-26 20:58:41+08:00,False,True,False
117,am0eouxu,voxa7i,Familiar-Mouse4490,16912,45537,2021-02-28 21:35:53+08:00,False,False,False
118,ohw9j,vox4nu,Bcpjw,142961,134919,2015-07-03 09:08:59+08:00,False,False,False
119,cbmj3ias,vowv6g,poki777,1193,885,2021-05-25 16:38:02+08:00,False,False,False
120,67m06,vowe17,btcprox,13837,11831,2011-11-09 19:15:31+08:00,False,False,False
121,uazlr,vow3s0,justmewayne,28473,20028,2016-02-01 09:55:40+08:00,False,False,False
122,6z4wpym0,vovvj2,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
123,au1pv8l8,vovlsd,Thefunincaifun,22295,37553,2021-03-11 10:51:35+08:00,False,False,False
124,1eqdt8vc,vouen2,lobangbecausenomoney,13508,19482,2018-05-21 00:31:08+08:00,False,False,False
125,am0eouxu,votxl2,Familiar-Mouse4490,16912,45537,2021-02-28 21:35:53+08:00,False,False,False
126,wgnhqde,vosujd,SlashCache,4739,9965,2018-02-12 11:39:24+08:00,False,False,False
127,6z4wpym0,vos9iq,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
128,2ucw04dq,vorz2w,litepad,1601,10105,2019-01-11 00:54:15+08:00,False,False,False
129,8r19l4xf,vorudc,annoyedwityou,7116,2436,2020-11-04 19:09:06+08:00,False,False,False
130,ohw9j,voqkfk,Bcpjw,142961,134919,2015-07-03 09:08:59+08:00,False,False,False
131,1519l322,vopz33,ahwongwong,6235,1139,2018-04-18 17:14:50+08:00,False,False,False
132,uazlr,vook3b,justmewayne,28473,20028,2016-02-01 09:55:40+08:00,False,False,False
133,6z4wpym0,voo1gn,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
134,3d6rv89u,vonme3,Jammy_buttons2,67834,167230,2019-03-08 09:33:52+08:00,False,False,False
135,9jt24v,von8jq,d00psy,15041,204,2017-06-28 20:31:58+08:00,False,False,False
136,5drps2e1,vomg2t,patricklhe,10287,12758,2020-01-06 16:40:58+08:00,False,False,False
137,6l4z3,vok4x6,AutoModerator,1000,1000,2012-01-05 13:24:28+08:00,True,True,False
138,6z4wpym0,voeszf,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
139,6z4wpym0,voaeyl,MicrotechAnalysis,126843,13038,2020-06-19 18:58:24+08:00,False,False,False
140,ckh3e,voa412,rhr90,379,2479,2013-07-31 02:30:55+08:00,False,False,False
141,1eqdt8vc,vo9600,lobangbecausenomoney,13508,19482,2018-05-21 00:31:08+08:00,False,False,False
142,67yd7ppd,vo8os2,floatinglightly,3,189,2020-08-25 10:59:19+08:00,False,False,False
143,bbse2o7b,vo8dxl,Alternative-Ad-7123,829,426,2021-05-23 09:01:09+08:00,False,False,False
144,ojuqd,vo7tse,Twrd4321,71815,99381,2015-07-05 22:11:54+08:00,False,True,False
