author_id,comment_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
dk6t8oyp,igqz186,w2mc0v,Doraemonhacker,8570,22191,2021-07-28 04:19:55+08:00,False,False,False
ov3qf,igr014m,w2mc0v,saintlyknighted,84048,85565,2015-07-17 21:43:49+08:00,False,False,False
5e11b9el,igqz37b,w2mc0v,InfiniteDividends,233,14604,2020-01-07 12:48:43+08:00,False,True,False
16kejy,igr0ctl,w2mc0v,Farfaraway94,14,6787,2017-03-28 23:24:36+08:00,False,False,False
au1pv8l8,igqviz4,w2lkq8,Thefunincaifun,23332,38214,2021-03-11 10:51:35+08:00,False,False,False
94wrjhkx,igqvm1w,w2lkq8,Friedkwaytiao,10,4271,2020-12-03 01:13:39+08:00,False,False,False
2vx2xcyw,igqv4ju,w2lkq8,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
1ae8o0nv,igqv2yo,w2kndd,Hazelnut526,1701,18283,2018-05-02 00:04:11+08:00,False,False,False
2mgelouv,igqy0u1,w2kndd,Puzzleheaded-Dog-910,116,1423,2020-11-08 18:42:06+08:00,False,False,False
122x8ils,igqwpkz,w2kndd,thrulim123,942,45029,2018-03-18 10:57:23+08:00,False,False,False
2vx2xcyw,igqt0gf,w2kndd,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
44t3xcqe,igr10h0,w2kndd,MoreOptionsExist,2,334,2019-07-20 23:56:44+08:00,False,False,False
3mkv4ylf,igqy918,w2kndd,smile_politely,171,37690,2019-08-01 18:31:06+08:00,False,False,False
90ub8r1,igqq1dw,w2kafh,kimmyganny,2017,16143,2017-08-01 17:08:39+08:00,False,False,False
6mcvxccz,igqrmre,w2kafh,Administrator-Reddit,103546,105463,2020-05-31 00:16:44+08:00,False,False,False
gtuz79py,igqpg22,w2kafh,Thanos_is_a_good_boy,574,19235,2021-11-23 11:21:36+08:00,False,False,False
1nzmbphj,igqs6zi,w2kafh,forevaplo,622,2336,2018-06-29 05:12:17+08:00,False,False,False
1726sy,igqrr3k,w2kafh,14high,2,17812,2017-04-14 10:24:45+08:00,False,False,False
1slkqqae,igqrkx4,w2kafh,jmzyn,4300,45574,2018-07-17 19:42:54+08:00,False,True,False
1eqdt8vc,igqozbe,w2kafh,lobangbecausenomoney,13746,20071,2018-05-21 00:31:08+08:00,False,False,False
34ay5wj9,igqz3ro,w2kafh,rowthecow,2298,62007,2019-04-04 12:40:59+08:00,False,False,False
akvusegw,igr13bf,w2kafh,FunerealCrape,218,52706,2021-02-26 09:39:44+08:00,False,False,False
zahka,igr14bk,w2kafh,mutantsloth,14398,41965,2016-07-06 22:30:18+08:00,False,True,False
xfpxf,igqvwt2,w2kafh,Goenitz33,565,15574,2016-04-25 12:48:47+08:00,False,False,False
gtuz79py,igqp4ld,w2k8va,Thanos_is_a_good_boy,574,19235,2021-11-23 11:21:36+08:00,False,False,False
2qbelp42,igqqloc,w2k8va,crazyditzydiva,83,1589,2019-08-10 19:24:30+08:00,False,False,False
13fnh7,igqqw53,w2k8va,gmdotes,3147,43584,2016-12-09 18:56:48+08:00,False,False,False
2vx2xcyw,igqo00r,w2k8va,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
122x8ils,igr01uc,w2k8va,thrulim123,942,45029,2018-03-18 10:57:23+08:00,False,False,False
113hr2h5,igqz38x,w2k8va,DaMuchi,3263,41643,2018-05-16 01:14:32+08:00,False,False,False
8ixp3aww,igqqots,w2k8va,sexyhades69,10898,39297,2020-11-21 10:05:55+08:00,False,False,False
10y6qb,igqomq6,w2jqmg,Skane1982,402,52620,2016-08-28 22:07:42+08:00,True,False,False
2fk5cd9i,igqlm6o,w2jqmg,Krazyguylone,4149,5849,2018-11-29 01:05:47+08:00,False,True,False
jm1ccavz,igqscq0,w2jqmg,LemonNarc,2098,5424,2022-02-12 13:44:52+08:00,False,False,False
2vx2xcyw,igql53i,w2jqmg,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
lbeb0,igqya9y,w2jqmg,nyvrem,2192,5406,2015-02-12 22:05:15+08:00,False,False,False
ilwsavc7,igr16j2,w2jqmg,globetrotter1000G,1099,3795,2022-01-15 20:56:26+08:00,False,False,False
2h2dfwaj,igqkc23,w2ip6x,-_af_-,8462,147850,2018-12-04 09:29:39+08:00,False,False,False
4qjs43wg,igqfw02,w2ip6x,yellowtofuwarrior,6052,51416,2019-10-06 11:29:25+08:00,False,False,False
dx767,igqhyr5,w2ip6x,trashmaker,17563,104594,2013-11-15 11:22:43+08:00,True,False,False
nnoonp9,igqwkjo,w2ip6x,shimmynywimminy,13198,101412,2017-12-09 20:10:29+08:00,False,False,False
5lcr0ka1,igqqo8y,w2ip6x,MAMBAMENTALITY8-24,806,120398,2020-02-03 17:56:02+08:00,False,False,False
8ixp3aww,igqlbc8,w2ip6x,sexyhades69,10898,39298,2020-11-21 10:05:55+08:00,False,False,False
amc46yj2,igquzon,w2ip6x,wanderingcatto,99,28580,2021-02-28 12:09:53+08:00,False,False,False
gtuz79py,igqonv1,w2ip6x,Thanos_is_a_good_boy,574,19236,2021-11-23 11:21:36+08:00,False,False,False
8g6erng1,igqwnqv,w2ip6x,InitialOk2951,1,0,2020-10-12 23:24:29+08:00,False,False,False
i9btb3pz,igqyuxv,w2ip6x,iamfr0ntman,13,181,2022-01-12 15:09:55+08:00,False,False,False
bqk2m4kw,igqz1i4,w2ip6x,Jackie-Ron_W,880,3349,2021-04-24 23:31:28+08:00,False,False,False
lpf31,igql71h,w2ip6x,shiinamachi,4051,117365,2015-02-28 02:16:47+08:00,False,True,False
8kdd5,igqi3n9,w2ihru,raymmm,20,32783,2012-08-05 19:26:31+08:00,False,False,False
ihk4vlh,igqinlc,w2ihru,Ramikade,707,7501,2017-10-25 00:06:58+08:00,False,False,False
85y0c1v2,igqpyqa,w2ihru,financial_learner123,460,19825,2020-09-20 22:45:00+08:00,False,False,False
11d0at,igqq20d,w2ihru,thrashinabox,781,10708,2016-09-13 01:45:43+08:00,False,False,False
l3ohq,igqg61n,w2ihru,in-b4,869,7514,2015-02-02 17:01:49+08:00,False,False,False
bhacd,igqgcy0,w2ihru,Mynxs,3219,42586,2013-04-28 02:07:19+08:00,False,False,False
qcs0sa7,igqvczt,w2ihru,SambalBacon,2536,5168,2018-01-01 14:57:00+08:00,False,False,False
13h6ij,igqwnhs,w2ihru,kuang89,2957,15527,2016-12-11 12:17:00+08:00,False,False,False
dk6t8oyp,igqf7w4,w2ihru,Doraemonhacker,8570,22190,2021-07-28 04:19:55+08:00,False,False,False
11zn1b,igq82fy,w2gzh3,septeal,562,74551,2016-10-09 13:47:11+08:00,False,False,False
13mnms,igqjflj,w2gzh3,ngrenjie,4563,101570,2016-12-17 09:00:01+08:00,False,False,False
bhacd,igqep13,w2gzh3,Mynxs,3219,42586,2013-04-28 02:07:19+08:00,False,False,False
1h2qsr,igq7g4f,w2gzh3,SiHtranger,1157,80999,2017-05-03 02:09:35+08:00,False,False,False
cciezodc,igqs281,w2gzh3,Last-Career7180,13,1249,2021-06-02 09:59:18+08:00,False,False,False
59re69te,igqwliv,w2gzh3,Sunbird11,150,1262,2019-12-21 16:27:39+08:00,False,False,False
qejftnz,igqiuul,w2gzh3,Wowmich,1,14553,2018-07-18 07:22:13+08:00,False,False,False
370i2adz,igq2j5p,w2gluc,Boogie_p0p,485,128554,2019-02-10 19:32:49+08:00,False,False,False
sv2h1,igqdll4,w2gluc,oohlapoopoo,370,16865,2015-12-12 01:11:07+08:00,False,False,False
120j2pwa,igqgzak,w2gluc,mrwagga,5307,75218,2018-03-18 01:27:03+08:00,False,False,False
1505fk,igqmnxt,w2gluc,frehocc,108,5761,2017-02-02 16:05:08+08:00,False,False,False
5lcr0ka1,igqq91t,w2gluc,MAMBAMENTALITY8-24,806,120400,2020-02-03 17:56:02+08:00,False,False,False
egmnhlbv,igqt5xe,w2gluc,bloodybaron73,16,6132,2021-09-11 07:18:03+08:00,False,False,False
1ae8o0nv,igqoakd,w2gluc,Hazelnut526,1701,18287,2018-05-02 00:04:11+08:00,False,False,False
5lcr0ka1,igqr0lh,w2gluc,MAMBAMENTALITY8-24,806,120400,2020-02-03 17:56:02+08:00,False,False,False
113hr2h5,igqscri,w2gluc,DaMuchi,3263,41643,2018-05-16 01:14:32+08:00,False,False,False
bersiyzl,igqip8d,w2gluc,papayadurian,1,17,2021-04-08 18:03:44+08:00,False,False,False
2lz07n7x,igq8qu9,w2gluc,AdministrativeRub235,1640,36999,2020-10-07 07:56:01+08:00,False,False,False
4qxp68nl,igq9f99,w2gdbz,mrkuzan,1132,3161,2020-05-10 02:28:54+08:00,False,False,False
j7g1ftm4,igq8us3,w2gdbz,QubitQuanta,1,8862,2022-01-31 19:01:24+08:00,False,False,False
j7g1ftm4,igq3t7i,w2gdbz,QubitQuanta,1,8862,2022-01-31 19:01:24+08:00,False,False,False
62xqunuw,igqei7o,w2gdbz,PublicSummer0,5692,7309,2020-04-10 18:56:56+08:00,False,False,False
gftudmw7,igqsgq8,w2gdbz,SgpWarrior,103,3833,2021-11-22 21:38:37+08:00,False,False,False
2vx2xcyw,igq0kc9,w2gdbz,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
cqjn7hud,igqveov,w2gdbz,TheyCallMeAahbozz,354,5900,2021-06-15 18:28:18+08:00,False,False,False
3fkfxbcp,igqu8i8,w2gdbz,milogaosiudai,5,22620,2019-07-25 14:22:00+08:00,False,False,False
knu67,igr02n6,w2gdbz,Razputina,671,2671,2015-01-12 13:12:17+08:00,False,False,False
8ev11,igq12b1,w2enol,jacobsnemesis,7154,94333,2012-07-22 21:01:25+08:00,False,False,False
wxq1l,igqesvf,w2enol,PhantomWolf83,4254,94574,2016-04-07 11:53:18+08:00,False,False,False
1ae8o0nv,igq0ozg,w2enol,Hazelnut526,1701,18287,2018-05-02 00:04:11+08:00,False,False,False
5dun81dy,igq4bip,w2enol,_IsNull,3560,93570,2021-06-22 10:14:17+08:00,True,False,False
cs42y,igqccmf,w2enol,crobat3,66761,74187,2013-08-16 21:57:48+08:00,False,True,False
13mnms,igq22jl,w2enol,ngrenjie,4563,101571,2016-12-17 09:00:01+08:00,False,False,False
kt5gw,igqclpc,w2enol,HeavyArmsJin,6977,37903,2015-01-19 22:24:19+08:00,False,False,False
109z7u,igqc4pr,w2enol,I_love_pillows,3716,399922,2016-08-09 23:31:32+08:00,False,False,False
34mdvrfg,igqy0sw,w2enol,Alberqueque,409,11223,2019-02-01 14:58:16+08:00,False,False,False
7ctcimdo,igptvnx,w2eb3e,tauhutropikal,166,5410,2020-07-21 16:15:05+08:00,False,False,False
am0eouxu,igpriqs,w2eb3e,Familiar-Mouse4490,17718,47782,2021-02-28 21:35:53+08:00,False,False,False
5mzb5rt2,igq26f2,w2eb3e,abigbluebird,2559,40404,2020-03-15 18:05:21+08:00,False,False,False
sv2h1,igqdbqi,w2eb3e,oohlapoopoo,370,16869,2015-12-12 01:11:07+08:00,False,False,False
knam2,igq270w,w2eb3e,Zoisen,70,28850,2015-01-11 20:01:08+08:00,False,False,False
6o3jk9,igqlsiw,w2eb3e,icwiener25,7551,6446,2018-09-05 20:15:21+08:00,False,False,False
lomtabye,igqb85p,w2eb3e,sussy_bakagaijin,2,701,2022-04-08 12:15:09+08:00,False,False,False
3fkfxbcp,igq1wne,w2eb3e,milogaosiudai,5,22620,2019-07-25 14:22:00+08:00,False,False,False
ggrfy,igq6lzj,w2eb3e,shirokiri,185,2185,2014-05-07 20:41:37+08:00,False,False,False
lo0z1jq6,igqhmtr,w2eb3e,jesus_is_92,68,11704,2022-04-08 02:32:35+08:00,False,False,False
6nm7f,igqkhg0,w2eb3e,sonastyinc,7903,87058,2012-01-13 20:03:27+08:00,False,True,False
2vx2xcyw,igpn8qd,w2eb3e,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
7tefng8d,igqwhmg,w2eb3e,lullabyroses,18,13,2020-08-23 10:03:39+08:00,False,False,False
3xqoi95b,igq7l81,w2eb3e,jermhah,294,9496,2019-06-13 16:16:38+08:00,False,False,False
qejftnz,igqj9ac,w2eb3e,Wowmich,1,14553,2018-07-18 07:22:13+08:00,False,False,False
13xet1,igqkgqf,w2eb3e,nextlevelunlocked,5001,37378,2016-12-28 22:56:43+08:00,False,False,False
5bwvq3o7,igqpuu3,w2eb3e,pzshx2002,1229,14905,2020-01-01 21:43:34+08:00,False,False,False
cqlq8cfk,igqr2dv,w2eb3e,DisillusionedSinkie,6074,26280,2021-06-15 20:39:19+08:00,False,False,False
1h2qsr,igqbnst,w2eb3e,SiHtranger,1157,81023,2017-05-03 02:09:35+08:00,False,False,False
8dcuztg,igqtby6,w2eb3e,VAsHachiRoku,1631,1731,2017-07-26 13:11:25+08:00,False,False,False
nh0nh,igqan8u,w2e54h,HailSlaytan,3,685,2015-05-14 23:22:13+08:00,False,False,False
p9xwn,igq1qzg,w2e54h,Dankobot,294,13939,2015-08-03 17:51:05+08:00,False,False,False
2vx2xcyw,igpm8k9,w2e54h,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
j5ygx61z,igpi0ri,w2biie,japchaeonescalator,12,1418,2022-01-30 12:59:42+08:00,False,False,False
c14dgy3e,igpm52z,w2biie,Radiant-Bicycle-8728,58,801,2021-05-09 23:02:11+08:00,False,False,False
qcbvdrw,igpmtxt,w2biie,silentscope90210,27185,70498,2018-01-01 12:07:30+08:00,False,False,False
8dekyyfa,igprsis,w2biie,ApprehensiveHold7950,33,1059,2020-11-21 13:39:57+08:00,False,False,False
90ub8r1,igqdkag,w2biie,kimmyganny,2017,16153,2017-08-01 17:08:39+08:00,False,False,False
arysm020,igp5yy7,w2biie,NewbiePhotogSG,1250,432,2021-03-08 16:10:43+08:00,False,False,False
xbnvn,igplvo0,w2biie,tictactorz,489,40657,2016-04-21 00:05:28+08:00,False,False,False
3cleewh,igp5xoz,w2biie,blackwoodsix,789,45863,2017-06-07 17:54:31+08:00,False,True,False
1q9ek7xt,igqchkf,w2biie,SarahLeeeee,28,125,2018-07-08 18:50:08+08:00,False,False,False
6334rci,igqvsda,w2biie,Orangecuppa,3603,104664,2017-07-05 13:33:34+08:00,False,False,False
quu2jn8,igqbxab,w2biie,dreadiplomat110,106,12257,2018-01-16 17:03:16+08:00,False,False,False
3k9qfjsr,igqcx1x,w2biie,Pvt_Twinkietoes,797,19257,2019-04-08 15:23:29+08:00,False,False,False
76ktzgg,igqexh4,w2biie,stateofbrave,1,1486,2018-02-24 19:05:06+08:00,False,False,False
ibzn8,igqp2m8,w2biie,kumgongkia,334,37220,2014-09-10 16:40:24+08:00,False,False,False
xbnvn,igqcd9e,w2biie,tictactorz,489,40657,2016-04-21 00:05:28+08:00,False,False,False
64dq0267,igqnupd,w2biie,alpacapillow0,3,3167,2020-04-04 22:45:55+08:00,False,False,False
370i2adz,igqtprw,w2biie,Boogie_p0p,485,128559,2019-02-10 19:32:49+08:00,False,False,False
ag7o9q9w,igqyp55,w2biie,bueytahanliao,1,11371,2021-06-10 22:07:33+08:00,False,False,False
y39md,igppo6v,w2biie,MisoMesoMilo,87,88748,2016-05-21 13:43:13+08:00,False,False,False
bvzqfppt,igqrqra,w2biie,EaeleButEeelier,1691,4660,2021-05-02 15:55:48+08:00,False,False,False
6kuhjlk8,igo0tud,w246we,StareintotheSun2020,1417,49166,2020-10-13 19:04:38+08:00,False,False,False
j7g1ftm4,igq9knb,w246we,QubitQuanta,1,8860,2022-01-31 19:01:24+08:00,False,False,False
4d7ythah,igpy7g4,w246we,bukitbukit,83,77774,2020-04-01 12:48:51+08:00,False,False,False
22nk3x4m,ignykhe,w246we,ShadeX8,1,38449,2018-08-27 22:33:39+08:00,False,False,False
2vx2xcyw,ignvf7k,w246we,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
62xqunuw,igpjt20,w246we,PublicSummer0,5692,7310,2020-04-10 18:56:56+08:00,False,False,False
dx2ge8aj,igqurbs,w246we,Swimming-Tear-5022,63,4184,2021-08-15 04:54:45+08:00,False,False,False
dkgy8ulk,igqznu1,w246we,SuicideLakeEffectKid,977,5442,2021-07-28 13:46:48+08:00,False,False,False
m1dvn,igphhbz,w246we,CSlv,1365,122551,2015-03-11 02:48:34+08:00,False,False,False
wn9plvi,igoxzan,w241fl,JulSGP,3095,21862,2018-10-04 13:01:27+08:00,False,False,False
2vx2xcyw,ignudrj,w241fl,sneakpeek_bot,135,71288,2018-12-30 11:53:52+08:00,False,True,False
hefkr17,igq4qn7,w241fl,6Hee9,1028,23811,2017-10-15 11:52:39+08:00,False,False,False
zzoa0,igqgtdw,w241fl,kongKing_11,69,5138,2016-08-01 00:53:59+08:00,False,False,False
axzxv,igqrmir,w241fl,zombotplus,534,7430,2013-03-15 00:06:40+08:00,False,False,False
s4tb1,ignq684,w23cgw,merelyok,48691,105171,2015-11-18 01:04:00+08:00,False,False,False
nnoonp9,igns8dx,w23cgw,shimmynywimminy,13198,101416,2017-12-09 20:10:29+08:00,False,False,False
nem1p,igobwhw,w23cgw,BakeMate,1014,7658,2015-05-11 13:25:36+08:00,False,False,False
k78dxxvs,igpq7i6,w23cgw,shopchin,9,423,2022-03-01 11:21:13+08:00,False,False,False
cye9cwy4,ignu7zk,w23cgw,PastLettuce8943,74,15297,2021-06-27 04:16:09+08:00,False,False,False
glihknpe,igpn252,w23cgw,ChocolatePurple4525,33,732,2021-11-16 15:12:18+08:00,False,False,False
8ev11,igpz1x6,w23cgw,jacobsnemesis,7154,94333,2012-07-22 21:01:25+08:00,False,False,False
aoztmhy0,ignxm89,w23cgw,hafchiu_pangsai,43,24793,2021-03-04 09:35:27+08:00,False,True,False
a6qp8yum,igo0lla,w23cgw,fall1n1RWI,293,14783,2021-05-25 21:51:59+08:00,True,False,False
dl5cq87o,igq0slu,w23cgw,Puzzleheaded_Dog3261,1,8632,2021-07-29 12:40:35+08:00,False,False,False
al7pujlo,igq5449,w23cgw,sukequto,8,18409,2021-02-26 21:18:02+08:00,False,False,False
