,author_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
0,55po5527,vu4edo,Saffronsc,35405,77250,2020-07-02 21:22:58+08:00,True,True,False
1,uazlr,vu3xlp,justmewayne,28484,20028,2016-02-01 09:55:40+08:00,False,False,False
2,6z4wpym0,vu392l,MicrotechAnalysis,127225,13038,2020-06-19 18:58:24+08:00,False,False,False
3,dqp06m7b,vu1aof,IHungryAlready,1468,511,2021-08-06 10:16:00+08:00,False,False,False
4,cn5bti35,vtz4h1,zuomok,2999,6634,2021-06-10 23:07:42+08:00,False,False,False
5,6z4wpym0,vty8tq,MicrotechAnalysis,127225,13038,2020-06-19 18:58:24+08:00,False,False,False
6,l9c4d6nw,vty6sq,merlion_sg,2602,315,2022-03-29 09:34:20+08:00,False,False,False
7,d998c9ok,vtubae,hydrangeapurple,8734,4939,2021-07-13 09:07:50+08:00,False,False,False
8,6l4z3,vtu8du,AutoModerator,1000,1000,2012-01-05 13:24:28+08:00,True,True,False
9,b6qdqem,vtq6vq,cyruslyy,251,556,2017-08-21 02:05:00+08:00,False,False,False
10,5peq6klc,vtpudt,Iridiumstuffs,111581,12325,2020-02-17 11:16:52+08:00,False,True,False
11,2fk5cd9i,vtpldo,Krazyguylone,4099,5232,2018-11-29 01:05:47+08:00,False,True,False
12,2fk5cd9i,vtph9k,Krazyguylone,4099,5232,2018-11-29 01:05:47+08:00,False,True,False
13,6z4wpym0,vtog0y,MicrotechAnalysis,127225,13038,2020-06-19 18:58:24+08:00,False,False,False
14,cn5bti35,vtly6g,zuomok,2999,6634,2021-06-10 23:07:42+08:00,False,False,False
15,egvnnizc,vtlgks,quixzephyr,1,2127,2021-09-11 16:30:41+08:00,False,False,False
16,6z4wpym0,vtk0co,MicrotechAnalysis,127225,13038,2020-06-19 18:58:24+08:00,False,False,False
17,svmu,vtitzk,stone_soup,1803,6608,2006-11-29 16:12:08+08:00,False,False,False
18,6z4wpym0,vtg5vf,MicrotechAnalysis,127225,13038,2020-06-19 18:58:24+08:00,False,False,False
19,cpah7,vtey2g,elmachosierra,1269,6761,2013-08-10 17:00:02+08:00,False,True,False
20,11hnt7w9,vtex6l,GlompSpark,24041,17796,2018-03-14 22:33:35+08:00,False,False,False
21,c2t45,vtdyaa,Jaradcel,1728,11122,2013-06-18 20:21:34+08:00,False,False,False
